"greenhouse gas","sector","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Nitrous Oxide (N2O) (kt CO2-eqv.)","HEATING OF HOUSES AND PREMISES, TOTAL",142.6,143.3,133.9,135.6,132.3,130.0,130.3,119.9,111.0,107.5,106.6,97.0,95.9,103.3,99.3,94.1,84.5,88.1,85.8,88.5,87.6,87.5,85.7,84.9,78.6,78.4,79.5,81.0,71.4
"Nitrous Oxide (N2O) (kt CO2-eqv.)","LAND-USE, LAND-USE CHANGE AND FORESTRY (LULUCF), TOTAL",1275.9,1261.6,1257.4,1263.2,1265.1,1274.2,1273.2,1275.3,1278.3,1289.5,1298.6,1300.6,1298.7,1303.5,1298.2,1314.4,1304.8,1298.5,1273.8,1240.8,1256.8,1202.4,1154.6,1160.4,1179.9,1210.0,1237.7,1237.8,1251.9
"Methane (CH4) (kt CO2-eqv.)","NATIONAL TOTAL (excluding LULUCF, excluding international transports)",7418.8,7415.1,7550.0,7526.0,7464.2,7367.1,7375.7,7305.9,7198.4,6998.6,6833.2,6760.4,6513.6,6303.9,6330.3,6140.5,6027.0,5765.1,5492.8,5338.2,5216.5,5066.0,4899.6,4828.2,4701.8,4595.5,4511.0,4470.5,4380.5
"Methane (CH4) (kt CO2-eqv.)","NATIONAL TOTAL (excluding LULUCF, including international transports)",7419.7,7415.8,7550.8,7526.8,7465.2,7368.3,7376.7,7307.0,7199.7,7000.0,6834.4,6761.6,6514.6,6305.1,6331.8,6142.0,6028.7,5766.7,5494.6,5340.0,5218.3,5067.6,4901.1,4829.6,4703.3,4596.9,4512.5,4472.2,4382.5
"Methane (CH4) (kt CO2-eqv.)","NATIONAL TOTAL (including LULUCF, excluding international transports)",7891.1,7886.9,8021.9,7997.2,7936.0,7839.8,7847.4,7786.9,7668.5,7474.0,7309.0,7236.9,6991.8,6780.9,6803.3,6613.1,6504.6,6230.9,5965.7,5793.5,5668.7,5512.2,5335.2,5266.5,5169.8,5038.0,4957.3,4913.4,4875.2
"Methane (CH4) (kt CO2-eqv.)","NATIONAL TOTAL (including LULUCF, including international transports)",7891.9,7887.7,8022.6,7998.0,7937.0,7840.9,7848.5,7788.0,7669.9,7475.4,7310.3,7238.1,6992.8,6782.1,6804.8,6614.6,6506.3,6232.6,5967.6,5795.3,5670.5,5513.8,5336.7,5268.0,5171.3,5039.4,4958.8,4915.1,4877.1
"Methane (CH4) (kt CO2-eqv.)","OFF-ROAD VEHICLES AND OTHER MACHINERY, TOTAL",12.8,12.7,12.7,12.7,12.7,12.8,12.9,13.0,13.2,13.2,13.1,12.9,12.9,13.0,13.1,12.8,13.9,14.3,14.5,14.0,13.4,12.5,11.6,10.8,10.3,9.9,9.8,9.6,9.3
"Methane (CH4) (kt CO2-eqv.)","WASTE, TOTAL",3466.8,3522.8,3527.6,3414.5,3279.5,3275.0,3246.9,3215.3,3166.3,3035.8,2943.5,2891.2,2704.7,2552.4,2525.0,2370.9,2284.7,2099.1,1830.1,1734.4,1612.4,1508.8,1379.7,1300.6,1191.9,1106.1,1024.8,958.0,891.3
"Methane (CH4) (kt CO2-eqv.)","ELECTRICITY AND DISTRICT HEATING, TOTAL",15.6,17.9,14.3,17.5,20.0,20.6,27.8,23.0,24.4,24.2,23.1,28.1,31.4,34.3,34.0,37.5,40.9,40.8,43.6,48.7,54.7,45.4,46.6,47.2,41.3,41.6,45.4,45.4,46.9
"Methane (CH4) (kt CO2-eqv.)","INDUSTRY, TOTAL",141.4,155.0,157.4,158.6,163.6,151.2,147.6,146.5,150.0,145.4,141.4,152.7,143.2,128.5,140.8,130.8,130.0,129.3,118.8,112.9,109.5,104.9,113.3,103.0,96.2,95.0,93.9,92.3,89.7
"Methane (CH4) (kt CO2-eqv.)","DOMESTIC TRANSPORT, TOTAL",156.2,163.3,153.3,134.9,139.5,128.8,124.6,112.5,105.6,97.4,87.2,79.9,73.4,67.6,62.0,58.8,54.6,50.0,46.7,42.9,39.5,35.0,27.0,25.5,23.9,22.9,21.5,20.0,18.3
"Methane (CH4) (kt CO2-eqv.)","INTERNATIONAL TRANSPORT, TOTAL",0.8,0.8,0.8,0.8,1.0,1.2,1.1,1.2,1.4,1.4,1.3,1.2,1.0,1.3,1.5,1.5,1.7,1.6,1.8,1.8,1.7,1.6,1.5,1.5,1.5,1.3,1.5,1.7,1.9
"Methane (CH4) (kt CO2-eqv.)","AGRICULTURE, TOTAL",3522.2,3435.5,3575.1,3678.2,3741.2,3664.8,3701.4,3688.6,3637.2,3590.9,3534.2,3511.4,3463.1,3419.6,3467.1,3443.2,3419.7,3353.2,3363.1,3308.8,3311.4,3284.1,3250.6,3271.0,3270.8,3255.8,3250.6,3281.1,3269.9
"Methane (CH4) (kt CO2-eqv.)","SOLVENT USE AND OTHER PRODUCT USE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Methane (CH4) (kt CO2-eqv.)","HEATING OF HOUSES AND PREMISES, TOTAL",104.0,107.8,109.5,109.6,107.7,113.9,114.4,106.9,101.7,91.7,90.6,84.2,84.9,88.4,88.2,86.6,83.1,78.3,76.0,76.5,75.7,75.3,70.6,70.0,67.5,64.3,65.0,64.1,55.2
"Methane (CH4) (kt CO2-eqv.)","LAND-USE, LAND-USE CHANGE AND FORESTRY (LULUCF), TOTAL",472.2,471.9,471.9,471.2,471.8,472.7,471.8,481.0,470.2,475.4,475.9,476.5,478.2,477.0,472.9,472.6,477.5,465.9,473.0,455.3,452.2,446.2,435.7,438.3,468.0,442.5,446.3,443.0,494.6
"Nitrous Oxide (N2O) (t)","NATIONAL TOTAL (excluding LULUCF, excluding international transports)",19262.6,18852.8,18335.2,19041.0,19147.6,18737.9,18778.7,18793.9,18922.7,18192.7,17895.0,17493.9,17094.6,16977.9,17006.8,16652.9,16464.0,15923.6,16193.4,15619.1,16186.2,15174.9,15043.6,15178.5,15357.6,15428.8,15358.2,15964.0,15112.9
"Nitrous Oxide (N2O) (t)","NATIONAL TOTAL (excluding LULUCF, including international transports)",19451.3,19045.2,18541.9,19252.9,19390.1,18984.2,19039.1,19096.9,19271.9,18546.0,18241.6,17830.6,17391.0,17345.9,17425.3,17087.9,16923.9,16384.2,16650.5,16082.3,16635.8,15578.2,15431.5,15552.8,15758.8,15857.1,15822.6,16487.9,15678.0
"Nitrous Oxide (N2O) (t)","NATIONAL TOTAL (including LULUCF, excluding international transports)",23544.0,23086.4,22554.5,23279.9,23392.8,23013.6,23051.2,23073.6,23212.3,22519.9,22252.7,21858.3,21452.6,21352.2,21363.3,21063.6,20842.7,20281.0,20467.9,19782.9,20403.8,19209.7,18918.1,19072.5,19316.8,19489.3,19511.6,20117.7,19313.8
"Nitrous Oxide (N2O) (t)","NATIONAL TOTAL (including LULUCF, including international transports)",23732.7,23278.8,22761.3,23491.8,23635.2,23259.9,23311.6,23376.5,23561.5,22873.2,22599.4,22195.0,21749.0,21720.2,21781.8,21498.6,21302.6,20741.6,20925.1,20246.1,20853.4,19613.0,19305.9,19446.8,19718.0,19917.6,19976.1,20641.6,19879.0
"Nitrous Oxide (N2O) (t)","OFF-ROAD VEHICLES AND OTHER MACHINERY, TOTAL",122.3,118.6,118.8,118.9,119.4,119.1,121.4,121.5,121.4,120.2,120.0,118.7,118.3,118.2,118.7,119.9,120.8,119.8,122.6,120.1,121.6,124.5,127.0,129.2,130.6,131.5,134.7,138.8,143.0
"Nitrous Oxide (N2O) (t)","WASTE, TOTAL",777.5,781.4,784.7,793.8,803.4,819.5,803.7,789.3,781.8,784.1,786.8,782.0,779.9,788.3,786.3,840.4,840.2,848.1,860.7,873.6,857.6,886.6,851.7,837.9,821.9,800.1,800.6,795.6,772.3
"Nitrous Oxide (N2O) (t)","ELECTRICITY AND DISTRICT HEATING, TOTAL",395.9,483.6,506.0,534.2,535.8,559.4,600.6,476.5,511.7,483.9,473.0,550.6,594.0,633.7,716.9,740.2,758.9,788.2,815.5,862.3,945.3,828.6,805.3,860.7,767.5,806.0,775.0,821.6,832.5
"Nitrous Oxide (N2O) (t)","INDUSTRY, TOTAL",3336.0,3508.6,3424.5,3360.2,3313.5,3090.0,2978.8,2960.7,3234.7,2925.5,2790.9,2362.1,2181.9,2120.5,2106.5,2116.4,2228.1,1521.3,1596.4,1694.2,1754.4,850.4,942.5,893.2,897.5,831.2,897.9,875.0,820.4
"Nitrous Oxide (N2O) (t)","DOMESTIC TRANSPORT, TOTAL",636.1,643.5,696.1,718.6,708.5,758.0,743.8,771.3,704.1,723.9,514.8,465.3,438.4,416.8,399.5,393.8,386.2,376.3,382.0,388.5,408.6,407.5,438.0,451.0,472.1,494.3,515.6,518.3,530.9
"Nitrous Oxide (N2O) (t)","INTERNATIONAL TRANSPORT, TOTAL",188.7,192.4,206.8,211.9,242.5,246.3,260.4,303.0,349.2,353.3,346.6,336.7,296.4,368.1,418.6,435.0,459.9,460.6,457.1,463.2,449.6,403.4,387.9,374.3,401.2,428.3,464.5,523.9,565.2
"Nitrous Oxide (N2O) (t)","AGRICULTURE, TOTAL",13225.4,12549.0,12008.5,12714.3,12914.2,12556.6,12650.2,12815.2,12731.4,12360.4,12457.8,12507.6,12250.1,12113.6,12074.2,11686.1,11422.7,11603.4,11731.3,11033.5,11400.7,11466.4,11281.8,11463.5,11717.6,11805.9,11711.5,12150.5,11381.7
"Nitrous Oxide (N2O) (t)","SOLVENT USE AND OTHER PRODUCT USE, TOTAL",291.0,287.3,347.0,346.0,309.0,399.0,443.0,457.0,465.0,434.0,394.0,382.0,410.1,439.9,471.5,440.2,423.5,370.8,396.9,350.0,404.1,317.1,309.8,258.2,286.8,296.5,255.9,392.4,392.4
"Nitrous Oxide (N2O) (t)","HEATING OF HOUSES AND PREMISES, TOTAL",478.4,480.9,449.5,455.0,443.8,436.2,437.2,402.3,372.5,360.8,357.7,325.5,321.9,346.7,333.2,315.9,283.6,295.7,287.9,297.0,293.9,293.8,287.6,284.7,263.6,263.2,266.9,271.8,239.7
"Nitrous Oxide (N2O) (t)","LAND-USE, LAND-USE CHANGE AND FORESTRY (LULUCF), TOTAL",4281.4,4233.6,4219.4,4238.9,4245.2,4275.7,4272.4,4279.6,4289.6,4327.2,4357.7,4364.4,4358.0,4374.3,4356.5,4410.7,4378.7,4357.4,4274.5,4163.8,4217.6,4034.8,3874.5,3894.0,3959.2,4060.5,4153.4,4153.7,4201.0
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","NATIONAL TOTAL (excluding LULUCF, excluding international transports)",6.5,11.1,12.8,30.2,73.3,135.8,226.9,371.9,483.4,639.0,769.6,852.0,934.6,1003.4,1085.1,1110.2,1135.0,1140.5,1155.9,1154.3,1133.8,1105.9,1087.9,1076.7,1102.6,1120.8,1137.0,1098.1,1034.9
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","NATIONAL TOTAL (excluding LULUCF, including international transports)",6.5,11.1,12.8,30.2,73.3,135.8,226.9,371.9,483.4,639.0,769.6,852.0,934.6,1003.4,1085.1,1110.2,1135.0,1140.5,1155.9,1154.3,1133.8,1105.9,1087.9,1076.7,1102.6,1120.8,1137.0,1098.1,1034.9
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","NATIONAL TOTAL (including LULUCF, excluding international transports)",6.5,11.1,12.8,30.2,73.3,135.8,226.9,371.9,483.4,639.0,769.6,852.0,934.6,1003.4,1085.1,1110.2,1135.0,1140.5,1155.9,1154.3,1133.8,1105.9,1087.9,1076.7,1102.6,1120.8,1137.0,1098.1,1034.9
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","NATIONAL TOTAL (including LULUCF, including international transports)",6.5,11.1,12.8,30.2,73.3,135.8,226.9,371.9,483.4,639.0,769.6,852.0,934.6,1003.4,1085.1,1110.2,1135.0,1140.5,1155.9,1154.3,1133.8,1105.9,1087.9,1076.7,1102.6,1120.8,1137.0,1098.1,1034.9
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","OFF-ROAD VEHICLES AND OTHER MACHINERY, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","WASTE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","ELECTRICITY AND DISTRICT HEATING, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","INDUSTRY, TOTAL",..,0.2,0.2,0.3,0.5,0.5,0.7,0.5,0.6,0.2,0.2,0.4,0.5,0.2,0.1,..,..,..,..,..,..,..,0.3,0.2,..,..,..,0.3,0.4
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","DOMESTIC TRANSPORT, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","INTERNATIONAL TRANSPORT, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","AGRICULTURE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","SOLVENT USE AND OTHER PRODUCT USE, TOTAL",6.5,10.9,12.6,29.9,72.8,135.3,226.1,371.4,482.9,638.7,769.4,851.6,934.2,1003.2,1085.1,1110.2,1135.0,1140.5,1155.9,1154.3,1133.8,1105.9,1087.7,1076.5,1102.6,1120.8,1137.0,1097.7,1034.5
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","HEATING OF HOUSES AND PREMISES, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Hydrofluorocarbons (HFCs) (kt CO2-eqv.)","LAND-USE, LAND-USE CHANGE AND FORESTRY (LULUCF), TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","NATIONAL TOTAL (excluding LULUCF, excluding international transports)",568.8,573.8,389.5,453.2,485.1,532.3,469.7,433.7,420.8,454.2,375.9,368.9,407.5,404.9,401.0,406.3,392.2,400.1,350.2,48.7,187.8,215.1,78.7,51.2,82.0,35.1,31.2,36.6,61.9
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","NATIONAL TOTAL (excluding LULUCF, including international transports)",568.8,573.8,389.5,453.2,485.1,532.3,469.7,433.7,420.8,454.2,375.9,368.9,407.5,404.9,401.0,406.3,392.2,400.1,350.2,48.7,187.8,215.1,78.7,51.2,82.0,35.1,31.2,36.6,61.9
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","NATIONAL TOTAL (including LULUCF, excluding international transports)",568.8,573.8,389.5,453.2,485.1,532.3,469.7,433.7,420.8,454.2,375.9,368.9,407.5,404.9,401.0,406.3,392.2,400.1,350.2,48.7,187.8,215.1,78.7,51.2,82.0,35.1,31.2,36.6,61.9
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","NATIONAL TOTAL (including LULUCF, including international transports)",568.8,573.8,389.5,453.2,485.1,532.3,469.7,433.7,420.8,454.2,375.9,368.9,407.5,404.9,401.0,406.3,392.2,400.1,350.2,48.7,187.8,215.1,78.7,51.2,82.0,35.1,31.2,36.6,61.9
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","OFF-ROAD VEHICLES AND OTHER MACHINERY, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","WASTE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","ELECTRICITY AND DISTRICT HEATING, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","INDUSTRY, TOTAL",568.8,573.8,389.5,453.2,485.1,532.0,468.0,430.8,417.5,450.3,371.4,364.3,402.0,398.7,394.9,400.9,382.1,385.6,335.8,39.4,184.4,212.8,76.9,49.8,80.9,34.2,30.5,36.1,61.6
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","DOMESTIC TRANSPORT, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","INTERNATIONAL TRANSPORT, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","AGRICULTURE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","SOLVENT USE AND OTHER PRODUCT USE, TOTAL",..,..,..,..,..,0.4,1.7,3.0,3.3,3.9,4.6,4.5,5.5,6.2,6.2,5.5,10.1,14.6,14.4,9.2,3.4,2.3,1.8,1.4,1.1,0.9,0.7,0.5,0.3
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","HEATING OF HOUSES AND PREMISES, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Perfluorocarbons (PFCs) (kt CO2-eqv.)","LAND-USE, LAND-USE CHANGE AND FORESTRY (LULUCF), TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kg)","NATIONAL TOTAL (excluding LULUCF, excluding international transports)",4461.8,4504.0,4498.9,4357.3,4665.5,5929.2,5126.1,6999.8,4878.0,5316.4,5209.5,5384.9,5245.6,3733.7,4153.0,6648.7,4940.2,6025.4,3195.3,3070.7,2783.2,2431.6,2330.3,1844.7,2012.2,2330.5,2520.3,2009.2,1407.8
"Sulphur Hexafluoride (SF6) (kg)","NATIONAL TOTAL (excluding LULUCF, including international transports)",4461.8,4504.0,4498.9,4357.3,4665.5,5929.2,5126.1,6999.8,4878.0,5316.4,5209.5,5384.9,5245.6,3733.7,4153.0,6648.7,4940.2,6025.4,3195.3,3070.7,2783.2,2431.6,2330.3,1844.7,2012.2,2330.5,2520.3,2009.2,1407.8
"Sulphur Hexafluoride (SF6) (kg)","NATIONAL TOTAL (including LULUCF, excluding international transports)",4461.8,4504.0,4498.9,4357.3,4665.5,5929.2,5126.1,6999.8,4878.0,5316.4,5209.5,5384.9,5245.6,3733.7,4153.0,6648.7,4940.2,6025.4,3195.3,3070.7,2783.2,2431.6,2330.3,1844.7,2012.2,2330.5,2520.3,2009.2,1407.8
"Sulphur Hexafluoride (SF6) (kg)","NATIONAL TOTAL (including LULUCF, including international transports)",4461.8,4504.0,4498.9,4357.3,4665.5,5929.2,5126.1,6999.8,4878.0,5316.4,5209.5,5384.9,5245.6,3733.7,4153.0,6648.7,4940.2,6025.4,3195.3,3070.7,2783.2,2431.6,2330.3,1844.7,2012.2,2330.5,2520.3,2009.2,1407.8
"Sulphur Hexafluoride (SF6) (kg)","OFF-ROAD VEHICLES AND OTHER MACHINERY, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kg)","WASTE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kg)","ELECTRICITY AND DISTRICT HEATING, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kg)","INDUSTRY, TOTAL",1000.0,1033.8,1033.8,1033.8,1167.5,1204.0,1404.0,1839.1,1670.2,1668.9,2268.9,2440.8,2835.2,1555.7,1737.5,4178.1,3219.1,4735.2,2001.3,1222.4,1433.6,1098.8,1072.0,490.9,690.7,755.4,868.4,563.4,..
"Sulphur Hexafluoride (SF6) (kg)","DOMESTIC TRANSPORT, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kg)","INTERNATIONAL TRANSPORT, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kg)","AGRICULTURE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kg)","SOLVENT USE AND OTHER PRODUCT USE, TOTAL",3461.8,3470.3,3465.2,3323.6,3498.0,4725.3,3722.2,5160.7,3207.8,3647.5,2940.7,2944.1,2410.4,2178.1,2415.5,2470.7,1721.1,1290.2,1194.0,1848.3,1349.6,1332.8,1258.3,1353.8,1321.5,1575.1,1651.9,1445.8,1407.8
"Sulphur Hexafluoride (SF6) (kg)","HEATING OF HOUSES AND PREMISES, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kg)","LAND-USE, LAND-USE CHANGE AND FORESTRY (LULUCF), TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kt CO2-eqv.)","NATIONAL TOTAL (excluding LULUCF, excluding international transports)",101.7,102.7,102.6,99.3,106.4,135.2,116.9,159.6,111.2,121.2,118.8,122.8,119.6,85.1,94.7,151.6,112.6,137.4,72.9,70.0,63.5,55.4,53.1,42.1,45.9,53.1,57.5,45.8,32.1
"Sulphur Hexafluoride (SF6) (kt CO2-eqv.)","NATIONAL TOTAL (excluding LULUCF, including international transports)",101.7,102.7,102.6,99.3,106.4,135.2,116.9,159.6,111.2,121.2,118.8,122.8,119.6,85.1,94.7,151.6,112.6,137.4,72.9,70.0,63.5,55.4,53.1,42.1,45.9,53.1,57.5,45.8,32.1
"Sulphur Hexafluoride (SF6) (kt CO2-eqv.)","NATIONAL TOTAL (including LULUCF, excluding international transports)",101.7,102.7,102.6,99.3,106.4,135.2,116.9,159.6,111.2,121.2,118.8,122.8,119.6,85.1,94.7,151.6,112.6,137.4,72.9,70.0,63.5,55.4,53.1,42.1,45.9,53.1,57.5,45.8,32.1
"Sulphur Hexafluoride (SF6) (kt CO2-eqv.)","NATIONAL TOTAL (including LULUCF, including international transports)",101.7,102.7,102.6,99.3,106.4,135.2,116.9,159.6,111.2,121.2,118.8,122.8,119.6,85.1,94.7,151.6,112.6,137.4,72.9,70.0,63.5,55.4,53.1,42.1,45.9,53.1,57.5,45.8,32.1
"Sulphur Hexafluoride (SF6) (kt CO2-eqv.)","OFF-ROAD VEHICLES AND OTHER MACHINERY, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kt CO2-eqv.)","WASTE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kt CO2-eqv.)","ELECTRICITY AND DISTRICT HEATING, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kt CO2-eqv.)","INDUSTRY, TOTAL",22.8,23.6,23.6,23.6,26.6,27.5,32.0,41.9,38.1,38.0,51.7,55.7,64.6,35.5,39.6,95.3,73.4,108.0,45.6,27.9,32.7,25.1,24.4,11.2,15.7,17.2,19.8,12.8,..
"Sulphur Hexafluoride (SF6) (kt CO2-eqv.)","DOMESTIC TRANSPORT, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kt CO2-eqv.)","INTERNATIONAL TRANSPORT, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kt CO2-eqv.)","AGRICULTURE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kt CO2-eqv.)","SOLVENT USE AND OTHER PRODUCT USE, TOTAL",78.9,79.1,79.0,75.8,79.8,107.7,84.9,117.7,73.1,83.2,67.0,67.1,55.0,49.7,55.1,56.3,39.2,29.4,27.2,42.1,30.8,30.4,28.7,30.9,30.1,35.9,37.7,33.0,32.1
"Sulphur Hexafluoride (SF6) (kt CO2-eqv.)","HEATING OF HOUSES AND PREMISES, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Sulphur Hexafluoride (SF6) (kt CO2-eqv.)","LAND-USE, LAND-USE CHANGE AND FORESTRY (LULUCF), TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
